"chart_position","chart_date","song","performer","time_on_chart","consecutive_weeks","previous_week","peak_position","chart_debut"
1,"1970-04-18","Let It Be","The Beatles",5,4,1,1,"1970-03-21"
2,"1970-04-18","ABC","Jackson 5",6,5,2,2,"1970-03-14"
3,"1970-04-18","Spirit In The Sky","Norman Greenbaum",8,7,4,3,"1970-02-28"
4,"1970-04-18","Instant Karma (We All Shine On)","John Ono Lennon",8,7,3,3,"1970-02-28"
5,"1970-04-18","Love Grows (Where My Rosemary Goes)","Edison Lighthouse",9,8,6,5,"1970-02-21"
6,"1970-04-18","Bridge Over Troubled Water","Simon & Garfunkel",11,10,5,1,"1970-02-07"
7,"1970-04-18","Come And Get It","Badfinger",11,10,8,7,"1970-02-07"
8,"1970-04-18","Love Or Let Me Be Lonely","The Friends Of Distinction",7,6,14,8,"1970-03-07"
9,"1970-04-18","American Woman/No Sugar Tonight","The Guess Who",5,4,15,9,"1970-03-21"
10,"1970-04-18","Up The Ladder To The Roof","The Supremes",7,6,11,10,"1970-03-07"
11,"1970-04-18","Easy Come, Easy Go","Bobby Sherman",11,10,9,9,"1970-02-07"
12,"1970-04-18","The Bells","The Originals",11,10,12,12,"1970-02-07"
13,"1970-04-18","House Of The Rising Sun","Frijid Pink",11,10,7,7,"1970-02-07"
14,"1970-04-18","The Rapper","The Jaggerz",12,11,10,2,"1970-01-31"
15,"1970-04-18","Something's Burning","Kenny Rogers & The First Edition",10,9,21,15,"1970-02-14"
16,"1970-04-18","Turn Back The Hands Of Time","Tyrone Davis",5,4,22,16,"1970-03-21"
17,"1970-04-18","Woodstock","Crosby, Stills, Nash & Young",4,3,33,17,"1970-03-28"
18,"1970-04-18","Reflections Of My Life","The Marmalade",6,5,30,18,"1970-03-14"
19,"1970-04-18","Give Me Just A Little More Time","Chairman Of The Board",14,13,17,3,"1970-01-17"
20,"1970-04-18","Long Lonesome Highway","Michael Parks",8,7,26,20,"1970-02-28"
21,"1970-04-18","Evil Ways","Santana",13,12,18,9,"1970-01-24"
