"date","hour","tempC","precip","solar","relhum","soil_moisture","soil_temp"
20211231,2000,2.2,0,0,90,0.4,3.7
20211231,2100,1.3,0,0,90,0.4,3.5
20211231,2200,1,0,0,91,0.4,3.4
20211231,2300,1.7,0,0,91,0.4,3.3
20220101,0,3,0,0,92,0.401,3.2
20220101,100,4.8,0,0,92,0.401,3.1
20220101,200,6.3,0,0,92,0.4,3.1
20220101,300,6.7,0,0,90,0.398,3.2
20220101,400,7.6,1,0,89,0.395,3.2
20220101,500,7.2,0,0,88,0.397,3.3
20220101,600,7.7,0,0,89,0.398,3.4
20220101,700,8.1,0,0,89,0.398,3.6
20220101,800,8.4,0,0,89,0.397,3.6
20220101,900,8.8,0,6,88,0.397,3.7
20220101,1000,9.5,0,21,88,0.398,3.9
20220101,1100,9.9,0,80,87,0.398,3.9
20220101,1200,9.9,0,73,86,0.398,4
20220101,1300,10.7,0,71,86,0.397,4.2
20220101,1400,10.9,0,75,84,0.397,4.4
20220101,1500,11.1,0,56,83,0.397,4.6
20220101,1600,10,0,18,84,0.397,4.7
20220101,1700,9,0,0,87,0.397,4.8
20220101,1800,9,0,0,90,0.396,4.8
20220101,1900,8.4,0.2,0,91,0.395,4.8
20220101,2000,6.6,0.5,0,92,0.396,4.9
20220101,2100,5.6,0.9,0,91,0.397,4.9
20220101,2200,4.3,0.5,0,91,0.399,4.9
20220101,2300,3.8,0,0,91,0.401,4.8
20220102,0,3.6,1.6,0,91,0.403,4.8
20220102,100,2.6,0.6,0,91,0.412,4.6
20220102,200,1.9,0,0,91,0.414,4.6
20220102,300,1.2,0,0,91,0.415,4.5
20220102,400,0.6,0.2,0,91,0.415,4.4
20220102,500,-0.1,0.2,0,91,0.415,4.3
20220102,600,-0.5,0.2,0,91,0.416,4.2
20220102,700,-0.6,0,0,91,0.416,4.1
20220102,800,-1.4,0,0,91,0.416,3.9
20220102,900,-2,0,0,90,0.416,3.9
20220102,1000,-2.4,0,16,90,0.417,3.7
20220102,1100,-3.2,0,40,89,0.417,3.6
20220102,1200,-3.9,0,51,88,0.416,3.5
20220102,1300,-4,0,84,87,0.416,3.4
20220102,1400,-4.1,0.3,68,86,0.416,3.3
20220102,1500,-4.7,0,25,85,0.416,3.2
20220102,1600,-4.7,0,2,85,0.415,3.1
20220102,1700,-4.8,0,0,87,0.413,3
20220102,1800,-5.1,0,0,87,0.412,2.9
20220102,1900,-5,0,0,86,0.41,2.8
20220102,2000,-5.1,0,0,85,0.408,2.7
20220102,2100,-5.1,0,0,84,0.406,2.6
20220102,2200,-5.2,0,0,84,0.406,2.6
20220102,2300,-5.5,0,0,83,0.403,2.4
20220103,0,-6.3,0,0,81,0.402,2.4
20220103,100,-7,0,0,79,0.401,2.3
20220103,200,-7,0,0,79,0.399,2.2
20220103,300,-7.1,0,0,79,0.396,2.1
20220103,400,-7.3,0,0,77,0.394,2
20220103,500,-7.9,0,0,77,0.393,2
20220103,600,-8,0,0,77,0.392,2
20220103,700,-8.3,0,0,77,0.39,1.9
20220103,800,-8.3,0,0,75,0.39,1.8
20220103,900,-8.4,0,14,74,0.388,1.7
20220103,1000,-8.6,0,66,73,0.387,1.7
20220103,1100,-8.8,0,111,73,0.385,1.6
20220103,1200,-8.5,0,185,72,0.385,1.6
20220103,1300,-9,0,249,70,0.384,1.5
20220103,1400,-9.3,0,201,69,0.383,1.6
20220103,1500,-9,0,231,68,0.382,1.5
20220103,1600,-9.4,0,161,66,0.381,1.5
20220103,1700,-10.5,0,5,65,0.378,1.5
20220103,1800,-10.9,0,0,65,0.377,1.4
20220103,1900,-10.9,0,0,66,0.375,1.4
20220103,2000,-10.3,0,0,68,0.374,1.4
20220103,2100,-10.2,0,0,69,0.373,1.3
20220103,2200,-10,0,0,68,0.372,1.3
20220103,2300,-10.1,0,0,68,0.37,1.3
20220104,0,-10,0,0,68,0.367,1.2
20220104,100,-10.8,0,0,68,0.364,1.2
20220104,200,-10.7,0,0,69,0.363,1.2
20220104,300,-11.9,0,0,69,0.362,1.1
20220104,400,-11.9,0,0,68,0.362,1.1
20220104,500,-10.9,0,0,69,0.36,1.1
20220104,600,-10.2,0,0,69,0.359,1
20220104,700,-9.4,0,0,69,0.359,1
20220104,800,-9.4,0,0,69,0.357,1
20220104,900,-7.7,0,39,70,0.357,1
20220104,1000,-6.5,0,249,72,0.356,1
20220104,1100,-4.5,0,340,71,0.355,1
20220104,1200,-2.8,0,403,66,0.355,1
20220104,1300,-1.6,0,399,63,0.355,0.9
20220104,1400,-0.5,0,370,60,0.355,1
20220104,1500,-0.4,0,277,56,0.355,1
20220104,1600,-0.5,0,149,54,0.356,0.9
20220104,1700,-1.1,0,4,56,0.356,0.9
20220104,1800,-1.3,0,0,59,0.356,0.9
20220104,1900,-2,0,0,58,0.357,0.9
20220104,2000,-3.1,0,0,63,0.357,0.9
20220104,2100,-3,0,0,65,0.357,0.9
20220104,2200,-3.4,0,0,64,0.356,0.9
20220104,2300,-3.5,0,0,65,0.357,0.9
20220105,0,-3.4,0,0,63,0.356,0.9
20220105,100,-3.7,0,0,62,0.355,0.8
20220105,200,-2.3,0,0,59,0.354,0.8
20220105,300,-2.1,0,0,52,0.353,0.8
20220105,400,-2.3,0,0,53,0.352,0.8
20220105,500,-2.5,0,0,56,0.352,0.8
20220105,600,-2.7,0,0,59,0.351,0.8
20220105,700,-2.9,0,0,61,0.35,0.8
20220105,800,-3.2,0,0,65,0.349,0.7
20220105,900,-2.6,0,31,68,0.349,0.8
20220105,1000,-1.2,0,133,68,0.349,0.7
20220105,1100,-0.2,0,140,66,0.348,0.7
20220105,1200,1.2,0,277,63,0.348,0.7
20220105,1300,1.7,0,225,60,0.348,0.7
20220105,1400,2.7,0,213,58,0.347,0.7
20220105,1500,3.3,0,193,55,0.347,0.7
20220105,1600,3.1,0,94,54,0.347,0.7
20220105,1700,2.4,0,13,56,0.348,0.7
20220105,1800,2,0,0,58,0.348,0.7
20220105,1900,1.4,0,0,60,0.348,0.7
20220105,2000,1.6,0,0,62,0.348,0.7
20220105,2100,1.5,0,0,61,0.348,0.7
20220105,2200,0.5,0,0,64,0.349,0.7
20220105,2300,-0.5,0,0,66,0.349,0.7
20220106,0,-1,0,0,72,0.349,0.7
20220106,100,0.2,0,0,71,0.349,0.7
20220106,200,-1.5,0,0,68,0.349,0.7
20220106,300,-1.6,0,0,68,0.349,0.7
20220106,400,-3,0,0,67,0.349,0.7
20220106,500,-3.7,0,0,59,0.349,0.7
20220106,600,-3.9,0,0,55,0.349,0.7
20220106,700,-4.2,0,0,57,0.348,0.7
20220106,800,-4.5,0,0,58,0.348,0.7
20220106,900,-4.9,0,1,60,0.347,0.7
20220106,1000,-4.7,0,37,63,0.342,0.6
20220106,1100,-4,0,103,61,0.34,0.6
20220106,1200,-3.4,0,213,56,0.345,0.6
20220106,1300,-2.8,0,179,53,0.346,0.6
20220106,1400,-2.6,0,148,52,0.341,0.6
20220106,1500,-2.7,0,120,52,0.341,0.6
20220106,1600,-2.8,0,41,52,0.346,0.6
20220106,1700,-3.3,0,4,54,0.346,0.7
20220106,1800,-3.9,0,0,58,0.341,0.6
20220106,1900,-4.2,0,0,60,0.346,0.6
20220106,2000,-4.2,0,0,64,0.342,0.6
20220106,2100,-4.4,0,0,68,0.346,0.6
20220106,2200,-4.5,0,0,70,0.341,0.6
20220106,2300,-5.1,0.4,0,74,0.345,0.6
20220107,0,-5.2,0.2,0,81,0.34,0.6
20220107,100,-5.2,0.2,0,84,0.34,0.6
20220107,200,-5.3,0.4,0,85,0.34,0.6
20220107,300,-5.3,0.3,0,87,0.339,0.6
20220107,400,-5.4,0.2,0,87,0.339,0.6
20220107,500,-5.4,0.4,0,87,0.338,0.6
20220107,600,-5.5,0.3,0,87,0.338,0.6
20220107,700,-5.6,0.3,0,86,0.338,0.6
20220107,800,-5.5,0,0,86,0.338,0.6
20220107,900,-5.4,0,35,84,0.338,0.6
20220107,1000,-4.9,0,139,77,0.338,0.6
20220107,1100,-4.3,0,239,70,0.338,0.6
20220107,1200,-4.8,0,236,61,0.338,0.6
20220107,1300,-5.2,0,263,57,0.338,0.6
20220107,1400,-5.9,0,226,61,0.338,0.6
20220107,1500,-6.7,0,108,71,0.338,0.6
20220107,1600,-6.9,0,61,66,0.338,0.6
20220107,1700,-7.6,0,4,63,0.338,0.6
20220107,1800,-8,0,0,64,0.338,0.6
20220107,1900,-8.1,0,0,71,0.338,0.6
20220107,2000,-8.2,0,0,68,0.338,0.5
20220107,2100,-8.5,0,0,70,0.338,0.5
20220107,2200,-8.8,0,0,70,0.338,0.5
20220107,2300,-9.1,0,0,70,0.338,0.5
20220108,0,-9.4,0,0,71,0.337,0.5
20220108,100,-9.5,0,0,73,0.337,0.5
20220108,200,-9.6,0.2,0,74,0.336,0.6
20220108,300,-9.8,0,0,73,0.337,0.5
20220108,400,-10.7,0,0,71,0.336,0.5
20220108,500,-11.3,0,0,73,0.335,0.5
20220108,600,-11.9,0,0,74,0.336,0.5
20220108,700,-12.7,0,0,74,0.336,0.5
20220108,800,-12.9,0,2,74,0.335,0.5
20220108,900,-11.2,0.2,92,75,0.335,0.5
20220108,1000,-10.2,0,228,75,0.334,0.5
20220108,1100,-9.5,0,360,72,0.335,0.5
20220108,1200,-7.5,0,427,67,0.335,0.5
20220108,1300,-5.8,0,438,56,0.335,0.5
20220108,1400,-5.4,0,375,47,0.334,0.5
20220108,1500,-5,0,233,46,0.335,0.5
20220108,1600,-5,0,175,48,0.334,0.5
20220108,1700,-5.9,0,18,48,0.334,0.5
20220108,1800,-5.9,0,0,51,0.334,0.5
20220108,1900,-6.1,0,0,51,0.334,0.5
20220108,2000,-5.7,0,0,49,0.333,0.5
20220108,2100,-5.4,0,0,46,0.334,0.5
20220108,2200,-5.8,0,0,46,0.334,0.5
20220108,2300,-4.1,0,0,44,0.334,0.5
20220109,0,-3.8,0,0,44,0.334,0.5
20220109,100,-3.5,0,0,48,0.334,0.5
20220109,200,-3.4,0,0,52,0.334,0.5
20220109,300,-3.5,0,0,60,0.334,0.4
20220109,400,-3.4,0,0,61,0.333,0.5
20220109,500,-3.1,0,0,66,0.333,0.4
20220109,600,-2.6,0,0,69,0.332,0.4
20220109,700,-2.9,0,0,76,0.333,0.5
20220109,800,-2.5,0,0,78,0.333,0.5
20220109,900,-2.3,0,3,80,0.334,0.4
20220109,1000,-1.5,0,24,82,0.334,0.5
20220109,1100,-0.6,0,49,83,0.334,0.5
20220109,1200,-0.1,0,36,84,0.334,0.5
20220109,1300,0.2,0,43,84,0.334,0.5
20220109,1400,0.7,0,38,85,0.334,0.4
20220109,1500,1,0.7,12,86,0.334,0.5
20220109,1600,1.1,2.2,2,86,0.334,0.5
20220109,1700,1.7,0,1,87,0.334,0.5
20220109,1800,2.4,0.9,0,87,0.334,0.5
