"name","marathon","year","date","time","time_minutes","vaporfly","sex"
"LELISA DESISA","Boston Marathon",2015,"2015-04-20","2:09:17",129.283333333333,FALSE,"male"
"YEMANE ADHANE TSEGAY","Boston Marathon",2015,"2015-04-20","2:09:48",129.8,FALSE,"male"
"WILSON CHEBET","Boston Marathon",2015,"2015-04-20","2:10:22",130.366666666667,FALSE,"male"
"BERNARD KIPYEGO","Boston Marathon",2015,"2015-04-20","2:10:47",130.783333333333,FALSE,"male"
"WESLEY KORIR","Boston Marathon",2015,"2015-04-20","2:10:49",130.816666666667,FALSE,"male"
"FRANKLINE CHEPKWONY","Boston Marathon",2015,"2015-04-20","2:10:52",130.866666666667,FALSE,"male"
"DATHAN RITZENHEIN","Boston Marathon",2015,"2015-04-20","2:11:20",131.333333333333,FALSE,"male"
"MEB KEFLEZIGHI","Boston Marathon",2015,"2015-04-20","2:12:42",132.7,FALSE,"male"
"TADESE TOLA","Boston Marathon",2015,"2015-04-20","2:13:35",133.583333333333,FALSE,"male"
"VITALIY SHAFAR","Boston Marathon",2015,"2015-04-20","2:13:52",133.866666666667,FALSE,"male"
"MATT TEGENKAMP","Boston Marathon",2015,"2015-04-20","2:13:52",133.866666666667,FALSE,"male"
"JEFFREY EGGLESTON","Boston Marathon",2015,"2015-04-20","2:14:17",134.283333333333,FALSE,"male"
"LUSAPHO APRIL","Boston Marathon",2015,"2015-04-20","2:16:25",136.416666666667,FALSE,"male"
"NICHOLAS ARCINIAGA","Boston Marathon",2015,"2015-04-20","2:18:02",138.033333333333,FALSE,"male"
"DANILO GOFFI","Boston Marathon",2015,"2015-04-20","2:18:44",138.733333333333,FALSE,"male"
"SAGE CANADAY","Boston Marathon",2015,"2015-04-20","2:19:12",139.2,FALSE,"male"
"SERGEY ZYRYANOV","Boston Marathon",2015,"2015-04-20","2:19:17",139.283333333333,FALSE,"male"
"CHRIS CHAVEZ","Boston Marathon",2015,"2015-04-20","2:20:04",140.066666666667,FALSE,"male"
"SCOTT MACPHERSON","Boston Marathon",2015,"2015-04-20","2:20:25",140.416666666667,FALSE,"male"
"CHRISTOPHER ZABLOCKI","Boston Marathon",2015,"2015-04-20","2:20:35",140.583333333333,FALSE,"male"
"KIYOKATSU HASEGAWA","Boston Marathon",2015,"2015-04-20","2:20:42",140.7,FALSE,"male"
"BENJAMIN P. ZYWICKI","Boston Marathon",2015,"2015-04-20","2:21:10",141.166666666667,FALSE,"male"
"PHILIPPE VIAU-DUPUIS","Boston Marathon",2015,"2015-04-20","2:21:16",141.266666666667,FALSE,"male"
"RUBEN SANCA","Boston Marathon",2015,"2015-04-20","2:21:58",141.966666666667,FALSE,"male"
"FERNANDO CABADA","Boston Marathon",2015,"2015-04-20","2:22:05",142.083333333333,FALSE,"male"
"MALCOLM RICHARDS","Boston Marathon",2015,"2015-04-20","2:22:30",142.5,FALSE,"male"
"COLE ATKINS","Boston Marathon",2015,"2015-04-20","2:23:21",143.35,FALSE,"male"
"JASON SIMPSON","Boston Marathon",2015,"2015-04-20","2:25:47",145.783333333333,FALSE,"male"
"MICHAEL WARDIAN","Boston Marathon",2015,"2015-04-20","2:27:20",147.333333333333,FALSE,"male"
"CHARLIE HURT","Boston Marathon",2015,"2015-04-20","2:30:15",150.25,FALSE,"male"
"MASON FRANK","Boston Marathon",2015,"2015-04-20","2:32:39",152.65,FALSE,"male"
"LEMI BERHANU HAYLE","Boston Marathon",2016,"2016-04-18","2:12:45",132.75,FALSE,"male"
"LELISA DESISA","Boston Marathon",2016,"2016-04-18","2:13:32",133.533333333333,FALSE,"male"
"YEMANE ADHANE TSEGAY","Boston Marathon",2016,"2016-04-18","2:14:02",134.033333333333,FALSE,"male"
"WESLEY KORIR","Boston Marathon",2016,"2016-04-18","2:14:05",134.083333333333,TRUE,"male"
"PAUL LONYANGATA","Boston Marathon",2016,"2016-04-18","2:15:45",135.75,FALSE,"male"
"SAMMY KITWARA","Boston Marathon",2016,"2016-04-18","2:16:43",136.716666666667,FALSE,"male"
"STEPHEN CHEBOGUT","Boston Marathon",2016,"2016-04-18","2:16:52",136.866666666667,FALSE,"male"
"ABDI NAGEEYE","Boston Marathon",2016,"2016-04-18","2:18:05",138.083333333333,FALSE,"male"
"GETU FELEKE","Boston Marathon",2016,"2016-04-18","2:18:46",138.766666666667,FALSE,"male"
"ZACHARY HINE","Boston Marathon",2016,"2016-04-18","2:21:37",141.616666666667,FALSE,"male"
"CUTBERT NYASANGO","Boston Marathon",2016,"2016-04-18","2:22:02",142.033333333333,FALSE,"male"
"TSEGAYE MEKONNEN","Boston Marathon",2016,"2016-04-18","2:22:21",142.35,FALSE,"male"
"IAN BURRELL","Boston Marathon",2016,"2016-04-18","2:22:22",142.366666666667,FALSE,"male"
"HARBERT OKUTI","Boston Marathon",2016,"2016-04-18","2:24:46",144.766666666667,FALSE,"male"
"MICHAEL KIPYEGO","Boston Marathon",2016,"2016-04-18","2:27:02",147.033333333333,FALSE,"male"
"ANDY WILLIAMS","Boston Marathon",2016,"2016-04-18","2:27:07",147.116666666667,FALSE,"male"
"MICHAEL WARDIAN","Boston Marathon",2016,"2016-04-18","2:31:39",151.65,FALSE,"male"
"RAMIRO GUILLEN","Boston Marathon",2016,"2016-04-18","2:32:45",152.75,FALSE,"male"
"CESAR MARTINS","Boston Marathon",2016,"2016-04-18","2:34:02",154.033333333333,FALSE,"male"
"DONOVAN FELLOWS","Boston Marathon",2016,"2016-04-18","2:34:17",154.283333333333,FALSE,"male"
"JASON SIMPSON","Boston Marathon",2016,"2016-04-18","2:37:33",157.55,FALSE,"male"
"CHRIS MOCKO","Boston Marathon",2016,"2016-04-18","2:39:14",159.233333333333,FALSE,"male"
"GALEN RUPP","Boston Marathon",2017,"2017-04-17","2:09:58",129.966666666667,TRUE,"male"
"SHADRACK BIWOTT","Boston Marathon",2017,"2017-04-17","2:12:08",132.133333333333,FALSE,"male"
"WILSON CHEBET","Boston Marathon",2017,"2017-04-17","2:12:35",132.583333333333,FALSE,"male"
"ABDI ABDIRAHMAN","Boston Marathon",2017,"2017-04-17","2:12:45",132.75,TRUE,"male"
"AUGUSTUS MAIYO","Boston Marathon",2017,"2017-04-17","2:13:16",133.266666666667,TRUE,"male"
"DINO SEFIR","Boston Marathon",2017,"2017-04-17","2:14:26",134.433333333333,FALSE,"male"
"LUKE PUSKEDRA","Boston Marathon",2017,"2017-04-17","2:14:45",134.75,FALSE,"male"
"JARED WARD","Boston Marathon",2017,"2017-04-17","2:15:28",135.466666666667,FALSE,"male"
"SEAN QUIGLEY","Boston Marathon",2017,"2017-04-17","2:15:34",135.566666666667,FALSE,"male"
"YEMANE ADHANE TSEGAY","Boston Marathon",2017,"2017-04-17","2:16:47",136.783333333333,FALSE,"male"
"MEB KEFLEZIGHI","Boston Marathon",2017,"2017-04-17","2:17:00",137,FALSE,"male"
"CUTBERT NYASANGO","Boston Marathon",2017,"2017-04-17","2:17:40",137.666666666667,FALSE,"male"
