eName,isPlanet,semimajorAxis,perihelion,aphelion,eccentricity,inclination,density,gravity,escape,meanRadius,equaRadius,polarRadius,flattening,dimension,sideralOrbit,sideralRotation,discoveryDate,mass_kg,volume,orbit_type,orbits,bondAlbido,geomAlbido,RV_abs,p_transit,transit_visibility,transit_depth,massj,semimajorAxis_AU,grav_int
Moon,FALSE,384400,363300,405500,0.0549,5.145,3.344,1.62,2380,33,1738.1,1736,0.0012,NA,27.3217,655.728,NA,735e20,21968000000,Secondary,Earth,NA,NA,NA,1.811589490114464,326.08610822060353,2.2458600958155087e-9,3.8684210526315786e-5,0.0025695552897999907,6606323854573963e10
Phobos,FALSE,9376,9234,9518,0.0151,1.075,1.9,0.0057,11.39,33,13,9.1,0,26.8 x 22.4 x 18.4,0.31891,0.7653,12/08/1877,106e14,5783.61,Secondary,Mars,NA,NA,NA,74.2720776450512,13368.973976109215,2.2458600958155087e-9,5.578947368421052e-12,6.267468885838895e-5,16014373256386214e6
Deimos,FALSE,23458,23456,23471,2e-4,1.075,1.75,0.003,5.556,33,7.8,5.1,0,15.0 x 12 x 10.4,1.26244,30.29856,12/08/1877,24e14,9997.8,Secondary,Mars,NA,NA,NA,29.6860346150567,5343.486230710206,2.2458600958155087e-9,1.263157894736842e-12,1.5680704471417322e-4,5792533532210834e5
Io,FALSE,421800,0,0,0.004,0.036,3.53,1.79,0,1821.5,0,0,0,NA,1.76914,42.4593,07/01/1610,893e20,NA,Secondary,Jupiter,NA,NA,NA,1.6552003319108581,297.93605974395444,6.8424742246902275e-6,4.7e-5,0.0028195588481728304,6666188450185605e10
Europa,FALSE,671100,0,0,0.009,0.466,3.01,1.31,0,1560.8,0,0,0,NA,3.55118,85.2293,08/01/1610,48e21,NA,Secondary,Jupiter,NA,NA,NA,1.0399386082551036,187.18894948591867,5.023996541162752e-6,2.526315789473684e-5,0.004486026417754354,1415487499855953e10
Ganymede,FALSE,1070400,0,0,0.001,0.177,1.94,1.428,0,2631.2,0,0,0,NA,7.15455,171.7093,11/01/1610,1.4799999999999999e+023,NA,Secondary,Jupiter,NA,NA,NA,0.6530018684603885,117.54033632286993,1.4277840954737939e-5,7.789473684210526e-5,0.007155182055676145,17155713830070088e9
Callisto,FALSE,1882700,0,0,0.007,0.192,1.83,1.235,0,2410.3,0,0,0,NA,16.68902,400.536,07/01/1610,1.0800000000000001e+023,NA,Secondary,Jupiter,NA,NA,NA,0.3711437297498274,66.80587135496893,1.1981109034281005e-5,5.684210526315789e-5,0.012585072175094802,4046697946474468e9
Amalthea,FALSE,181400,181150,182840,0.003,0.38,3.1,0.02,0,84,0,0,0,125 x 73 x 64,0.49818,11.9563,09/09/1892,75e17,NA,Secondary,Jupiter,NA,NA,NA,3.839173098125689,691.0511576626241,1.4551688554705443e-8,3.947368421052631e-9,0.001212584103979496,30270944837956404e6
Himalia,FALSE,11461000,9782900,13082000,0.162,27.5,1,0.062,0,85,0,0,0,NA,250.5662,7.7808,03/12/1904,95e17,NA,Secondary,Jupiter,NA,NA,NA,0.060764941977139865,10.937689555885175,1.490021964395505e-8,5e-9,0.07661205300831866,960545316898533e4
Elara,FALSE,11741000,0,0,0.217,26.63,1,0.031,0,40,0,0,0,NA,259.6528,0,02/01/1905,8e17,NA,Secondary,Jupiter,NA,NA,NA,0.0593119836470488,10.676157056468785,3.299702620114613e-9,4.2105263157894736e-10,0.07848373740255382,770759860780489500
